Id2,AREA CHARACTERISTICS - Area (Land),AREA CHARACTERISTICS - Area (Water),AREA CHARACTERISTICS - Internal Point (Latitude),AREA CHARACTERISTICS - Internal Point (Longitude)
17031812802,        370744,             0,+41.8832890,-087.7971767
17031812900,       1117797,             0,+41.8763240,-087.7953109
17031813000,        833038,             0,+41.8763621,-087.7806602
17031813100,        992937,             0,+41.8690084,-087.7816177
17031813200,       1116029,             0,+41.8690623,-087.7969698
17031813301,        647921,             0,+41.8621602,-087.7544156
17031813302,        647173,             0,+41.8622746,-087.7446672
17031813400,       1110013,             0,+41.8609814,-087.7666419
17031813500,        824010,             0,+41.8581575,-087.7757685
17031813600,        701622,             0,+41.8540567,-087.7648557
17031813701,        667532,             0,+41.8548833,-087.7541951
17031813702,        374814,             0,+41.8551815,-087.7465070
17031813801,        842066,             0,+41.8503424,-087.7434591
17031813802,        584418,             0,+41.8479746,-087.7539886
17031813900,        687079,             0,+41.8465014,-087.7684914
17031814000,        624153,             0,+41.8453737,-087.7754192
17031814100,       1300117,             0,+41.8422803,-087.7630429
17031814200,       2449426,             0,+41.8356479,-087.7456150
17031814300,        907133,             0,+41.8342002,-087.7582502
17031814400,       1665054,             0,+41.8276860,-087.7635474
17031814500,       1156567,             0,+41.8302015,-087.7745429
17031814600,        825869,             0,+41.8616511,-087.7850668
17031814700,        863934,             0,+41.8614524,-087.7976262
17031814800,       1430916,             0,+41.8494406,-087.7983382
17031814900,        618876,             0,+41.8533784,-087.7897939
17031815000,        537626,             0,+41.8562543,-087.7830143
17031815100,        666734,             0,+41.8475110,-087.7855818
17031815200,       1449944,             0,+41.8383041,-087.7840442
17031815300,        780746,             0,+41.8393764,-087.7953526
17031815400,       1413267,             0,+41.8313704,-087.7961910
17031815500,       1525999,             0,+41.8251471,-087.7877679
17031815600,       3261830,             0,+41.8449684,-087.8240397
17031815701,       1882605,             0,+41.8367113,-087.8110754
17031815702,       3330093,         26075,+41.8283595,-087.8169399
17031815800,       1952832,         17368,+41.8315845,-087.8366826
17031815900,        662904,             0,+41.8832376,-087.8097243
17031816000,       1262890,             0,+41.8763759,-087.8163473
17031816100,       6116484,             0,+41.8615643,-087.8183867
17031816200,       1920180,             0,+41.9036187,-087.8408339
17031816300,        923659,             0,+41.9042486,-087.8577131
17031816401,        659142,             0,+41.8955765,-087.8603346
17031816402,       1029655,             0,+41.8943837,-087.8509820
17031816500,       3487583,             0,+41.8962808,-087.8935603
17031816600,        869796,             0,+41.9032165,-087.8808405
17031816700,       1132636,             0,+41.9045738,-087.8963813
17031816800,       4749634,             0,+41.8914746,-087.9118633
17031816900,       1470997,             0,+41.8867816,-087.8906607
17031817000,       2174194,             0,+41.8873595,-087.8725071
17031817101,        987988,             0,+41.8762534,-087.8780978
17031817102,       1542595,             0,+41.8771917,-087.8657803
17031817200,       1091069,             0,+41.8830072,-087.8545265
17031817300,        733391,             0,+41.8840812,-087.8478481
17031817400,       1105103,             0,+41.8929938,-087.8381805
17031817500,       1893314,             0,+41.8802791,-087.8358383
17031817600,       1029302,             0,+41.8700736,-087.8384292
17031817700,       1450992,             0,+41.8717576,-087.8517306
17031817900,       3313730,             0,+41.8587753,-087.8449931
17031818000,       3521296,             0,+41.8543683,-087.8584426
17031818100,       1333662,             0,+41.8511907,-087.8737548
17031818200,       2000608,             0,+41.8635144,-087.8751479
17031818300,       3175990,             0,+41.8772666,-087.8987918
17031818401,       6830681,             0,+41.8613913,-087.9031064
17031818402,       1273660,             0,+41.8518970,-087.8918627
17031818500,       5594096,             0,+41.8407505,-087.8983424
17031818600,       2474624,             0,+41.8402366,-087.8655151
17031818700,       1549577,             0,+41.8335008,-087.8460834
17031818800,       1821563,             0,+41.8271222,-087.8544213
17031818900,       1484907,             0,+41.8275751,-087.8668624
17031819000,       6281373,           263,+41.8259449,-087.8950412
17031819100,       2575537,         96386,+41.8158454,-087.8134835
17031819200,       2476230,             0,+41.8118790,-087.8300332
17031819300,       1029222,             0,+41.8174455,-087.8501112
17031819400,       1650524,             0,+41.8100292,-087.8498739
17031819500,       1466462,             0,+41.8142980,-087.8672536
17031819600,       1474317,             0,+41.8051233,-087.8684177
17031819700,       2424343,             0,+41.8090295,-087.8808172
17031819801,       2186477,             0,+41.8121922,-087.8974038
17031819802,       1736381,             0,+41.7972017,-087.8949053
17031819900,       2090659,             0,+41.8041797,-087.9071572
17031820000,       1731490,             0,+41.8014109,-087.9139505
17031820101,       6970669,         48267,+41.7761897,-087.9034274
17031820103,       3054176,             0,+41.7899375,-087.8661978
17031820104,       3277655,             0,+41.7821533,-087.8771020
17031820201,      13226724,          4631,+41.7479486,-087.8985562
17031820202,      21864788,        878980,+41.7781034,-087.8507264
17031820300,       1383818,         52579,+41.7923913,-087.8068826
17031820400,       2526282,         65424,+41.7821747,-087.8125631
17031820501,       6654817,        167538,+41.7699787,-087.8171085
17031820502,       3645897,             0,+41.7538581,-087.8048060
17031820603,       2678299,        124599,+41.7530761,-087.8434104
17031820604,       2949101,             0,+41.7498384,-087.8269499
17031820605,       1584848,         19247,+41.7384267,-087.8309652
17031820606,       3479095,             0,+41.7377559,-087.8542618
17031820700,       4983579,         94151,+41.8170254,-087.7737005
17031820800,       5664195,        381601,+41.8072538,-087.7735919
