GEO.id,GEO.id2,GEO.display-label,VD002,VD003,VD004,VD005,VD006,VD007,VD008,VD010,VD011,VD012,VD013,VD014,VD015,VD016,VD017,VD018,VD019,VD020,VD021,VD022,VD023,VD024,VD025,VD026,VD027,VD028,VD029,VD030,VD031,VD032,VD033,VD034,VD035,VD036,VD037,VD038,VD039,VD040,VD041,VD042,VD043,VD044,VD045,VD046,VD047,VD048,VD049,VD050,VD051,VD052,VD053,VD054,VD055,VD056,VD057,VD058,VD059,VD060,VD061,VD062,VD063,VD064,VD065,VD067,VD068,VD069,VD070,VD071,VD072,VD073,VD074,VD075,VD076,VD077,VD079,VD080,VD081,VD082,VD083,VD084,VD085,VD086,VD087,VD088,VD089,VD090,VD091,VD092,VD093,VD094,VD095,VD096,VD097,VD098,VD099,VD100,VD101,VD102,VD103,VD104,VD105
1400000US17031803008,17031803008,"Census Tract 8030.08, Cook County, Illinois",DPST  ,IL,140,00,000,  ,0001167,2,3,17,031,H1,23,     ,  ,  ,     ,  ,  ,803008, ,    ,  ,     ,  ,  ,    ,     ,  , ,   ,     ,  ,      , ,     ,  ,16980,23,16974,176,     ,  ,     ,   , , ,     ,  , , ,  ,   ,   ,      , ,   ,     ,     ,  ,     ,     ,     ,       2516542,             0,Census Tract 8030.08,S,!,4712,1769,+42.1181132,-087.9704676,CT, ,      ,     ,01779784,01784766,        ,        ,        ,        ,        ,        ,        ,  ,  ,  ,   ,   ,   ,   ,   ,   ,  ,23,  ,1, ,     ,                  
1400000US17031803010,17031803010,"Census Tract 8030.10, Cook County, Illinois",DPST  ,IL,140,00,000,  ,0001168,2,3,17,031,H1,23,     ,  ,  ,     ,  ,  ,803010, ,    ,  ,     ,  ,  ,    ,     ,  , ,   ,     ,  ,      , ,     ,  ,16980,23,16974,176,     ,  ,     ,   , , ,     ,  , , ,  ,   ,   ,      , ,   ,     ,     ,  ,     ,     ,     ,       2577242,         24873,Census Tract 8030.10,S,!,5196,2103,+42.1512524,-087.9799990,CT, ,      ,     ,01779784,01784766,        ,        ,        ,        ,        ,        ,        ,  ,  ,  ,   ,   ,   ,   ,   ,   ,  ,23,  ,1, ,     ,                  
1400000US17031803012,17031803012,"Census Tract 8030.12, Cook County, Illinois",DPST  ,IL,140,00,000,  ,0001169,2,3,17,031,H1,23,     ,  ,  ,     ,  ,  ,803012, ,    ,  ,     ,  ,  ,    ,     ,  , ,   ,     ,  ,      , ,     ,  ,16980,23,16974,176,     ,  ,     ,   , , ,     ,  , , ,  ,   ,   ,      , ,   ,     ,     ,  ,     ,     ,     ,       1470708,             0,Census Tract 8030.12,S,!,2221,1099,+42.1432824,-087.9952320,CT, ,      ,     ,01779784,01784766,        ,        ,        ,        ,        ,        ,        ,  ,  ,  ,   ,   ,   ,   ,   ,   ,  ,23,  ,1, ,     ,                  
1400000US17031803013,17031803013,"Census Tract 8030.13, Cook County, Illinois",DPST  ,IL,140,00,000,  ,0001170,2,3,17,031,H1,23,     ,  ,  ,     ,  ,  ,803013, ,    ,  ,     ,  ,  ,    ,     ,  , ,   ,     ,  ,      , ,     ,  ,16980,23,16974,176,     ,  ,     ,   , , ,     ,  , , ,  ,   ,   ,      , ,   ,     ,     ,  ,     ,     ,     ,       1991933,             0,Census Tract 8030.13,S,!,5449,2451,+42.1430921,-087.9718936,CT, ,      ,     ,01779784,01784766,        ,        ,        ,        ,        ,        ,        ,  ,  ,  ,   ,   ,   ,   ,   ,   ,  ,23,  ,1, ,     ,                  
1400000US17031803014,17031803014,"Census Tract 8030.14, Cook County, Illinois",DPST  ,IL,140,00,000,  ,0001171,2,3,17,031,H1,23,     ,  ,  ,     ,  ,  ,803014, ,    ,  ,     ,  ,  ,    ,     ,  , ,   ,     ,  ,      , ,     ,  ,16980,23,16974,176,     ,  ,     ,   , , ,     ,  , , ,  ,   ,   ,      , ,   ,     ,     ,  ,     ,     ,     ,       1267312,         28253,Census Tract 8030.14,S,!,3430,1437,+42.1160864,-087.9334543,CT, ,      ,     ,01779784,01784766,        ,        ,        ,        ,        ,        ,        ,  ,  ,  ,   ,   ,   ,   ,   ,   ,  ,23,  ,1, ,     ,                  
1400000US17031803015,17031803015,"Census Tract 8030.15, Cook County, Illinois",DPST  ,IL,140,00,000,  ,0001172,2,3,17,031,H1,23,     ,  ,  ,     ,  ,  ,803015, ,    ,  ,     ,  ,  ,    ,     ,  , ,   ,     ,  ,      , ,     ,  ,16980,23,16974,176,     ,  ,     ,   , , ,     ,  , , ,  ,   ,   ,      , ,   ,     ,     ,  ,     ,     ,     ,       3306181,             0,Census Tract 8030.15,S,!,4459,2097,+42.1164127,-087.9496248,CT, ,      ,     ,01779784,01784766,        ,        ,        ,        ,        ,        ,        ,  ,  ,  ,   ,   ,   ,   ,   ,   ,  ,23,  ,1, ,     ,                  
1400000US17031803016,17031803016,"Census Tract 8030.16, Cook County, Illinois",DPST  ,IL,140,00,000,  ,0001173,2,3,17,031,H1,23,     ,  ,  ,     ,  ,  ,803016, ,    ,  ,     ,  ,  ,    ,     ,  , ,   ,     ,  ,      , ,     ,  ,16980,23,16974,176,     ,  ,     ,   , , ,     ,  , , ,  ,   ,   ,      , ,   ,     ,     ,  ,     ,     ,     ,       1029964,             0,Census Tract 8030.16,S,!,1979,989,+42.1208159,-087.9865222,CT, ,      ,     ,01779784,01784766,        ,        ,        ,        ,        ,        ,        ,  ,  ,  ,   ,   ,   ,   ,   ,   ,  ,23,  ,1, ,     ,                  
1400000US17031803017,17031803017,"Census Tract 8030.17, Cook County, Illinois",DPST  ,IL,140,00,000,  ,0001174,2,3,17,031,H1,23,     ,  ,  ,     ,  ,  ,803017, ,    ,  ,     ,  ,  ,    ,     ,  , ,   ,     ,  ,      , ,     ,  ,16980,23,16974,176,     ,  ,     ,   , , ,     ,  , , ,  ,   ,   ,      , ,   ,     ,     ,  ,     ,     ,     ,       2968774,             0,Census Tract 8030.17,S,!,6058,2746,+42.1191700,-087.9982587,CT, ,      ,     ,01779784,01784766,        ,        ,        ,        ,        ,        ,        ,  ,  ,  ,   ,   ,   ,   ,   ,   ,  ,23,  ,1, ,     ,                  
1400000US17031803100,17031803100,"Census Tract 8031, Cook County, Illinois",DPST  ,IL,140,00,000,  ,0001175,2,3,17,031,H1,23,     ,  ,  ,     ,  ,  ,803100, ,    ,  ,     ,  ,  ,    ,     ,  , ,   ,     ,  ,      , ,     ,  ,16980,23,16974,176,     ,  ,     ,   , , ,     ,  , , ,  ,   ,   ,      , ,   ,     ,     ,  ,     ,     ,     ,       1738130,             0,Census Tract 8031,S,!,3440,1256,+42.1003925,-087.9864133,CT, ,      ,     ,01779784,01784766,        ,        ,        ,        ,        ,        ,        ,  ,  ,  ,   ,   ,   ,   ,   ,   ,  ,23,  ,1, ,     ,                  
1400000US17031803200,17031803200,"Census Tract 8032, Cook County, Illinois",DPST  ,IL,140,00,000,  ,0001176,2,3,17,031,H1,23,     ,  ,  ,     ,  ,  ,803200, ,    ,  ,     ,  ,  ,    ,     ,  , ,   ,     ,  ,      , ,     ,  ,16980,23,16974,176,     ,  ,     ,   , , ,     ,  , , ,  ,   ,   ,      , ,   ,     ,     ,  ,     ,     ,     ,       2774069,             0,Census Tract 8032,S,!,5586,2459,+42.0988440,-087.9976756,CT, ,      ,     ,01779784,01784766,        ,        ,        ,        ,        ,        ,        ,  ,  ,  ,   ,   ,   ,   ,   ,   ,  ,23,  ,1, ,     ,                  
